trialnr	block	run	stim	keypress	go_nogo	face_onset	signal_onset	resp_onset	RT	accuracy	respmap	block_type
0	2	1	s_1.jpg	1	go	292811.887268	293061.830672	293511.809206	449.978534581	1	0	s_g
1	2	1	s_6.jpg	1	go	295795.2111	296111.828971	296728.53634	616.707368856	1	0	s_g
2	2	1	s_8.jpg	1	go	298795.306404	299128.649708	299378.594285	249.944576991	1	0	s_g
3	2	1	s_7.jpg	1	go	301728.570649	302228.633403	302561.89196	333.258556257	1	0	s_g
4	2	1	s_4.jpg	1	go	304878.535929	305078.642025	305395.140546	316.49852088	1	0	s_g
5	2	1	s_17.jpg	1	go	307761.884863	308061.886681	308361.911666	300.024984341	1	0	s_g
6	2	1	s_10.jpg	1	go	310811.948849	311161.926093	311461.864864	299.93877077	1	0	s_g
7	2	1	s_11.jpg	1	go	313611.977939	314045.19116	314061.816889	16.6257298834	1	0	s_g
8	2	1	s_14.jpg	0	go	316295.183242	316578.605369	318828.514171	2249.90880129	0	0	s_g
9	2	1	s_3.jpg	1	go	320128.542674	320495.248577	320945.315084	450.066507611	1	0	s_g
10	2	1	s_12.jpg	1	go	322861.816068	323128.630354	323461.863691	333.233337321	1	0	s_g
11	2	1	s_13.jpg	1	go	325561.854131	325945.18635	326328.506253	383.319902784	1	0	s_g
12	2	1	s_0.jpg	1	go	328478.541912	328928.519273	329311.921284	383.402010946	1	0	s_g
13	2	1	s_15.jpg	1	go	331261.871961	331495.133039	331895.226759	400.093720602	1	0	s_g
14	2	1	s_16.jpg	1	go	333911.887385	334378.510124	334695.16465	316.654526388	1	0	s_g
15	2	1	s_5.jpg	1	go	336928.430127	337345.157495	337628.462912	283.305416558	1	0	s_g
16	2	1	s_2.jpg	1	go	339661.922868	340061.83595	340328.509772	266.673821806	1	0	s_g
17	2	1	s_18.jpg	1	go	342578.502441	343061.781993	343511.774897	449.992903509	1	0	s_g
0	3	1	h_13.jpg	1	go	346928.656804	347311.882283	347695.269925	383.387642019	1	0	h_g
1	3	1	h_10.jpg	1	go	349845.326697	350061.918938	350378.68695	316.768011598	1	0	h_g
2	3	1	h_7.jpg	1	go	352611.998173	352845.201775	353178.722491	333.52071589	1	0	h_g
3	3	1	h_6.jpg	1	go	355145.139959	355578.659619	355895.211511	316.551891186	1	0	h_g
4	3	1	h_14.jpg	1	go	358311.975827	358628.677859	358995.277314	366.599455271	1	0	h_g
5	3	1	h_12.jpg	1	go	361245.304879	361611.983804	362078.561383	466.57757931	1	0	h_g
6	3	1	h_11.jpg	1	go	364211.981868	364562.019227	365028.566603	466.547375237	1	0	h_g
7	3	1	h_18.jpg	1	go	367228.573875	367495.354437	367811.857357	316.502919532	1	0	h_g
8	3	1	h_5.jpg	1	go	369778.663666	370078.586015	370478.803191	400.217176089	1	0	h_g
9	3	1	h_17.jpg	1	go	372328.639679	372611.883808	372911.862459	299.978651878	1	0	h_g
10	3	1	h_2.jpg	1	go	375078.650529	375328.760788	375645.315905	316.555116863	1	0	h_g
11	3	1	h_15.jpg	1	go	378011.980754	378478.653637	378778.680674	300.027037045	1	0	h_g
12	3	1	h_8.jpg	1	go	380845.150457	381261.961693	381528.727007	266.765313759	1	0	h_g
13	3	1	h_1.jpg	1	go	383695.247345	384178.537454	384445.251157	266.713702914	1	0	h_g
14	3	1	h_3.jpg	1	go	386695.314791	386895.210338	387228.528129	333.317791431	1	0	h_g
15	3	1	h_4.jpg	1	go	389228.506722	389628.630647	389928.508423	299.877776136	1	0	h_g
16	3	1	h_0.jpg	1	go	392111.962397	392445.347048	392745.296375	299.949327535	1	0	h_g
17	3	1	h_16.jpg	1	go	394828.632934	395278.614988	395711.856946	433.241958678	1	0	h_g
0	4	1	n_1.jpg	1	go	400861.81167	401278.613815	401561.901344	283.287528709	1	0	n_g
1	4	1	n_10.jpg	1	go	403911.876535	404378.555577	405311.99958	933.444003406	1	0	n_g
2	4	1	n_6.jpg	1	go	406845.126998	407228.61141	407945.164357	716.552946862	1	0	n_g
3	4	1	n_13.jpg	1	go	409728.537806	410095.301184	410712.027028	616.725843192	1	0	n_g
4	4	1	n_11.jpg	1	go	412628.446783	412845.249867	413328.480154	483.230287589	1	0	n_g
5	4	1	n_7.jpg	1	go	415211.941987	415478.580033	415862.059167	383.47913397	1	0	n_g
6	4	1	n_17.jpg	1	go	418095.190045	418395.271332	418895.258136	499.986804045	1	0	n_g
7	4	1	n_2.jpg	1	go	420861.796421	421295.197024	421628.589006	333.391982021	1	0	n_g
8	4	1	n_16.jpg	1	go	423861.792022	424345.090049	424661.81642	316.72637103	1	0	n_g
